Item Inventory #,Purchase_Date,seller,Brand + Product Name,Brand,Product_Name,product description, Quality , Purchase Price , List Price , Sell price , Gross Amount Earned , Net Profit/Loss ,Percent Profit,Date Sold,Days Held
315,5/1/2025,theofficefunko,Sponsored Stream,,,,, $ 112.97 ,, $ -   , $ -   , $ -   ,0%,,  96.00 
316,5/1/2025,japanluxlifestyle,Gucci Cherry Line Tote Bag,,,Great Condition,, $ 183.18 ,, $ 215.00 , $ 190.86 , $ 24.14 ,11%,5/14/2025,  13.00 
317,5/2/2025,goldenboutique,Black MCM Double Flap Shoulder Bag,,,Great Condition,, $ 120.02 ,, $ 175.00 , $ 155.11 , $ 19.89 ,11%,5/21/2025,  19.00 
318,5/2/2025,chanielleluxuryny,MCM Cognac Crossbody,,,,, $ 183.18 ,, $ 261.75 , $ 232.10 , $ 29.65 ,11%,6/12/2025,  41.00 
319,5/3/2025,shopmichellejb,MCM White Visetos Shoulderbag,,,Great Condition,, $ 110.22 ,, $ 274.00 , $ 243.07 , $ 30.93 ,11%,7/27/2025,  85.00 
320,5/3/2025,isaacsluxury,Louis Vuitton Damier Azul Kisslock Wallet,,,Great Condition,, $ 134.51 ,,,, $ -   ,0%,,  94.00 
321,5/3/2025,isaacsluxury,Gucci Navy Monogram GG Wallet,,,Great Condition,, $ 185.88 ,, $ 299.00 , $ 265.24 , $ 33.76 ,11%,7/14/2025,  72.00 
322,5/3/2025,isaacsluxury,"Gucci ""Cowboy Showdown"" Chocolate Wallet with Heavy Hardware",,,Great Condition,, $ 223.25 ,, $ 300.00 , $ 266.44 , $ 33.56 ,11%,7/18/2025,  76.00 
323,5/3/2025,isaacsluxury,Chanel Gold Quilted Goatskin Wallet with COA,,,Great Condition,, $ 223.25 ,, $ 379.00 , $ 336.73 , $ 42.27 ,11%,6/20/2025,  48.00 
324,5/3/2025,isaacsluxury,Gucci Champagne GG Wallet,,,Great Condition,, $ 163.35 ,,,, $ -   ,0%,,  94.00 
325,5/3/2025,shopbymichellejb,Salvatore Ferragamo Gancini Denim x Leather Tote Bag,,,Good Condition,, $ 101.28 ,, $ 199.00 , $ 176.26 , $ 22.74 ,11%,5/21/2025,  18.00 
326,5/3/2025,lilikoi1,Louis Vuitton Saint Cloud GM,,,Great Condition,, $ 500.08 ,, $ 600.00 , $ 532.42 , $ 67.58 ,11%,5/18/2025,  15.00 
327,5/3/2025,limitlessluxx_,Louis Vuitton Damier Ebene Verona with COA,,,Good Condition,, $ 474.49 ,,,, $ -   ,0%,,  94.00 
328,5/3/2025,next_level_luxury,Silver YSL Quilted Wallet,,,Good Condition,, $ 309.51 ,,,, $ -   ,0%,,  94.00 
329,5/3/2025,Darwadi,Bottega Venetta Intrecciato Lambskin Black Bifold,,,Great Condition,, $ 75.52 ,, $ 144.00 , $ 127.41 , $ 16.59 ,12%,5/16/2025,  13.00 
